Match_No,Innings,match_date,Versus,mode_of_dismissal,Runs,Balls_faced
247,240,2000-05-30 00:00:00,Bangladesh,c Habibul Bashar b Mushfiqur Rahman,36,25
248,241,2000-06-01 00:00:00,Sri Lanka,c D P M D Jayawardene b K Weeraratne,93,95
249,242,2000-06-03 00:00:00,Pakistan,lbw b Abdul Razzaq,25,30
250,243,2000-10-03 00:00:00,Kenya,lbw b A O Suji,25,35
251,244,2000-10-07 00:00:00,Australia,c D R Martyn b B Lee,38,37
252,245,2000-10-13 00:00:00,South Africa,c L Klusener b J H Kallis,39,50
253,246,2000-10-15 00:00:00,New Zealand,run out,69,83
254,247,2000-10-20 00:00:00,Sri Lanka,run out,101,140
255,248,2000-10-22 00:00:00,Zimbabwe,c †A Flower b H H Streak,8,15
256,249,2000-10-26 00:00:00,Zimbabwe,c P A Strang b T J Friend,4,10
257,250,2000-10-27 00:00:00,Sri Lanka,c W P U J C Vaas b M Muralitharan,61,54
258,251,2000-10-29 00:00:00,Sri Lanka,c & b W P U J C Vaas,5,11
259,252,2000-12-02 00:00:00,Zimbabwe,c H H Streak b D P Viljoen,44,49
260,253,2000-12-05 00:00:00,Zimbabwe,c †A Flower b T J Friend,8,20
261,254,2000-12-08 00:00:00,Zimbabwe,c M L Nkala b H H Streak,146,153
262,255,2000-12-11 00:00:00,Zimbabwe,lbw b T J Friend,62,86
263,256,2000-12-14 00:00:00,Zimbabwe,b M L Nkala,27,38
264,257,2001-03-25 00:00:00,Australia,run out,35,26
265,258,2001-03-28 00:00:00,Australia,c D S Lehmann b D W Fleming,32,29
266,259,2001-03-31 00:00:00,Australia,c D W Fleming b G D McGrath,139,125
267,260,2001-04-03 00:00:00,Australia,c S R Waugh b N W Bracken,62,38
268,261,2001-04-06 00:00:00,Australia,c †A C Gilchrist b N W Bracken,12,15
269,262,2001-06-24 00:00:00,Zimbabwe,not out,70,70
270,263,2001-06-27 00:00:00,Zimbabwe,c G W Flower b B C Strang,9,27
271,264,2001-06-30 00:00:00,West Indies,not out,81,110
272,265,2001-07-04 00:00:00,West Indies,not out,122,131
273,266,2001-07-07 00:00:00,West Indies,c D Ganga b C D Collymore,0,4
274,267,2001-10-05 00:00:00,South Africa,c H H Gibbs b J H Kallis,101,129
275,268,2001-10-10 00:00:00,South Africa,c A Nel b M Ntini,38,57
277,269,2001-10-17 00:00:00,Kenya,b J O Angara,3,20
278,270,2001-10-19 00:00:00,South Africa,b J H Kallis,37,35
